source,country,area,lat,lon,year,month,month_num,date,births,country_area
CDC,United States,Northeast,42,-73,2015,October,10,2015-10-01,53257,United States - Northeast
CDC,United States,Midwest,42,-90,2015,November,11,2015-11-01,65425,United States - Midwest
CDC,United States,Northeast,42,-73,2015,November,11,2015-11-01,49533,United States - Northeast
CDC,United States,Midwest,42,-90,2015,December,12,2015-12-01,69802,United States - Midwest
CDC,United States,Northeast,42,-73,2015,December,12,2015-12-01,51526,United States - Northeast
CDC,United States,Midwest,42,-90,2016,January,1,2016-01-01,65338,United States - Midwest
CDC,United States,Northeast,42,-73,2016,January,1,2016-01-01,49853,United States - Northeast
CDC,United States,Midwest,42,-90,2016,February,2,2016-02-01,63958,United States - Midwest
CDC,United States,Northeast,42,-73,2016,February,2,2016-02-01,48185,United States - Northeast
CDC,United States,Midwest,42,-90,2016,March,3,2016-03-01,69363,United States - Midwest
CDC,United States,Northeast,42,-73,2016,March,3,2016-03-01,51718,United States - Northeast
CDC,United States,Midwest,42,-90,2016,April,4,2016-04-01,66763,United States - Midwest
CDC,United States,Northeast,42,-73,2016,April,4,2016-04-01,50873,United States - Northeast
CDC,United States,Midwest,42,-90,2016,May,5,2016-05-01,70094,United States - Midwest
CDC,United States,Northeast,42,-73,2016,May,5,2016-05-01,53382,United States - Northeast
CDC,United States,Midwest,42,-90,2016,June,6,2016-06-01,71080,United States - Midwest
CDC,United States,Northeast,42,-73,2016,June,6,2016-06-01,53015,United States - Northeast
CDC,United States,Midwest,42,-90,2016,July,7,2016-07-01,73044,United States - Midwest
CDC,United States,Northeast,42,-73,2016,July,7,2016-07-01,55433,United States - Northeast
CDC,United States,Midwest,42,-90,2016,August,8,2016-08-01,75164,United States - Midwest
CDC,United States,Northeast,42,-73,2016,August,8,2016-08-01,56314,United States - Northeast
CDC,United States,Midwest,42,-90,2016,September,9,2016-09-01,71621,United States - Midwest
CDC,United States,Northeast,42,-73,2016,September,9,2016-09-01,53851,United States - Northeast
CDC,United States,Midwest,42,-90,2016,October,10,2016-10-01,68195,United States - Midwest
CDC,United States,Northeast,42,-73,2016,October,10,2016-10-01,51998,United States - Northeast
CDC,United States,Midwest,42,-90,2016,November,11,2016-11-01,65876,United States - Midwest
CDC,United States,Northeast,42,-73,2016,November,11,2016-11-01,49730,United States - Northeast
CDC,United States,Midwest,42,-90,2016,December,12,2016-12-01,67212,United States - Midwest
CDC,United States,Northeast,42,-73,2016,December,12,2016-12-01,50845,United States - Northeast
CDC,United States,Midwest,42,-90,2017,January,1,2017-01-01,64699,United States - Midwest
CDC,United States,Northeast,42,-73,2017,January,1,2017-01-01,49138,United States - Northeast
CDC,United States,Midwest,42,-90,2017,February,2,2017-02-01,60549,United States - Midwest
CDC,United States,Northeast,42,-73,2017,February,2,2017-02-01,45735,United States - Northeast
CDC,United States,Midwest,42,-90,2017,March,3,2017-03-01,67852,United States - Midwest
CDC,United States,Northeast,42,-73,2017,March,3,2017-03-01,51090,United States - Northeast
CDC,United States,Midwest,42,-90,2017,April,4,2017-04-01,64329,United States - Midwest
CDC,United States,Northeast,42,-73,2017,April,4,2017-04-01,48902,United States - Northeast
CDC,United States,Midwest,42,-90,2017,May,5,2017-05-01,69196,United States - Midwest
CDC,United States,Northeast,42,-73,2017,May,5,2017-05-01,51980,United States - Northeast
CDC,United States,Midwest,42,-90,2017,June,6,2017-06-01,69326,United States - Midwest
CDC,United States,Northeast,42,-73,2017,June,6,2017-06-01,52508,United States - Northeast
CDC,United States,Midwest,42,-90,2017,July,7,2017-07-01,71107,United States - Midwest
CDC,United States,Northeast,42,-73,2017,July,7,2017-07-01,54154,United States - Northeast
CDC,United States,Midwest,42,-90,2017,August,8,2017-08-01,74070,United States - Midwest
CDC,United States,Northeast,42,-73,2017,August,8,2017-08-01,55634,United States - Northeast
CDC,United States,Midwest,42,-90,2017,September,9,2017-09-01,70022,United States - Midwest
CDC,United States,Northeast,42,-73,2017,September,9,2017-09-01,53587,United States - Northeast
CDC,United States,Midwest,42,-90,2017,October,10,2017-10-01,68401,United States - Midwest
CDC,United States,Northeast,42,-73,2017,October,10,2017-10-01,52696,United States - Northeast
CDC,United States,Midwest,42,-90,2017,November,11,2017-11-01,65088,United States - Midwest
CDC,United States,Northeast,42,-73,2017,November,11,2017-11-01,50256,United States - Northeast
CDC,United States,Midwest,42,-90,2017,December,12,2017-12-01,65424,United States - Midwest
CDC,United States,Northeast,42,-73,2017,December,12,2017-12-01,49682,United States - Northeast
CDC,United States,Midwest,42,-90,2018,January,1,2018-01-01,65007,United States - Midwest
CDC,United States,Northeast,42,-73,2018,January,1,2018-01-01,49915,United States - Northeast
CDC,United States,Midwest,42,-90,2018,February,2,2018-02-01,60159,United States - Midwest
CDC,United States,Northeast,42,-73,2018,February,2,2018-02-01,44675,United States - Northeast
CDC,United States,Midwest,42,-90,2018,March,3,2018-03-01,67444,United States - Midwest
CDC,United States,Northeast,42,-73,2018,March,3,2018-03-01,50787,United States - Northeast
CDC,United States,Midwest,42,-90,2018,April,4,2018-04-01,64135,United States - Midwest
CDC,United States,Northeast,42,-73,2018,April,4,2018-04-01,48622,United States - Northeast
CDC,United States,Midwest,42,-90,2018,May,5,2018-05-01,69161,United States - Midwest
CDC,United States,Northeast,42,-73,2018,May,5,2018-05-01,52744,United States - Northeast
CDC,United States,Midwest,42,-90,2018,June,6,2018-06-01,67678,United States - Midwest
CDC,United States,Northeast,42,-73,2018,June,6,2018-06-01,51687,United States - Northeast
CDC,United States,Midwest,42,-90,2018,July,7,2018-07-01,69756,United States - Midwest
CDC,United States,Northeast,42,-73,2018,July,7,2018-07-01,53180,United States - Northeast
CDC,United States,Midwest,42,-90,2018,August,8,2018-08-01,72588,United States - Midwest
CDC,United States,Northeast,42,-73,2018,August,8,2018-08-01,54742,United States - Northeast
CDC,United States,Midwest,42,-90,2018,September,9,2018-09-01,67060,United States - Midwest
CDC,United States,Northeast,42,-73,2018,September,9,2018-09-01,51305,United States - Northeast
CDC,United States,Midwest,42,-90,2018,October,10,2018-10-01,67754,United States - Midwest
CDC,United States,Northeast,42,-73,2018,October,10,2018-10-01,52128,United States - Northeast
CDC,United States,Midwest,42,-90,2018,November,11,2018-11-01,63572,United States - Midwest
CDC,United States,Northeast,42,-73,2018,November,11,2018-11-01,48663,United States - Northeast
CDC,United States,Midwest,42,-90,2018,December,12,2018-12-01,64087,United States - Midwest
CDC,United States,Northeast,42,-73,2018,December,12,2018-12-01,48764,United States - Northeast
CDC,United States,West - without California,40,-113,2007,January,1,2007-01-01,41808,United States - West - without California
CDC,United States,West - without California,40,-113,2007,February,2,2007-02-01,38629,United States - West - without California
CDC,United States,West - without California,40,-113,2007,March,3,2007-03-01,43306,United States - West - without California
CDC,United States,West - without California,40,-113,2007,April,4,2007-04-01,41137,United States - West - without California
CDC,United States,West - without California,40,-113,2007,May,5,2007-05-01,44171,United States - West - without California
CDC,United States,West - without California,40,-113,2007,June,6,2007-06-01,43426,United States - West - without California
CDC,United States,West - without California,40,-113,2007,July,7,2007-07-01,45397,United States - West - without California
CDC,United States,West - without California,40,-113,2007,August,8,2007-08-01,46046,United States - West - without California
CDC,United States,West - without California,40,-113,2007,September,9,2007-09-01,44154,United States - West - without California
CDC,United States,West - without California,40,-113,2007,October,10,2007-10-01,43925,United States - West - without California
CDC,United States,West - without California,40,-113,2007,November,11,2007-11-01,41015,United States - West - without California
CDC,United States,West - without California,40,-113,2007,December,12,2007-12-01,41596,United States - West - without California
CDC,United States,West - without California,40,-113,2008,January,1,2008-01-01,42074,United States - West - without California
CDC,United States,West - without California,40,-113,2008,February,2,2008-02-01,40436,United States - West - without California
CDC,United States,West - without California,40,-113,2008,March,3,2008-03-01,42475,United States - West - without California
CDC,United States,West - without California,40,-113,2008,April,4,2008-04-01,41794,United States - West - without California
CDC,United States,West - without California,40,-113,2008,May,5,2008-05-01,43962,United States - West - without California
CDC,United States,West - without California,40,-113,2008,June,6,2008-06-01,42916,United States - West - without California
CDC,United States,West - without California,40,-113,2008,July,7,2008-07-01,45771,United States - West - without California
CDC,United States,West - without California,40,-113,2008,August,8,2008-08-01,44779,United States - West - without California
CDC,United States,West - without California,40,-113,2008,September,9,2008-09-01,43919,United States - West - without California
CDC,United States,West - without California,40,-113,2008,October,10,2008-10-01,42462,United States - West - without California
CDC,United States,West - without California,40,-113,2008,November,11,2008-11-01,38664,United States - West - without California
CDC,United States,West - without California,40,-113,2008,December,12,2008-12-01,41658,United States - West - without California
CDC,United States,West - without California,40,-113,2009,January,1,2009-01-01,39685,United States - West - without California
CDC,United States,West - without California,40,-113,2009,February,2,2009-02-01,37954,United States - West - without California
CDC,United States,West - without California,40,-113,2009,March,3,2009-03-01,42153,United States - West - without California
CDC,United States,West - without California,40,-113,2009,April,4,2009-04-01,40894,United States - West - without California
CDC,United States,West - without California,40,-113,2009,May,5,2009-05-01,42064,United States - West - without California
CDC,United States,West - without California,40,-113,2009,June,6,2009-06-01,41704,United States - West - without California
CDC,United States,West - without California,40,-113,2009,July,7,2009-07-01,43861,United States - West - without California
CDC,United States,West - without California,40,-113,2009,August,8,2009-08-01,42781,United States - West - without California
CDC,United States,West - without California,40,-113,2009,September,9,2009-09-01,42932,United States - West - without California
CDC,United States,West - without California,40,-113,2009,October,10,2009-10-01,41109,United States - West - without California
CDC,United States,West - without California,40,-113,2009,November,11,2009-11-01,37838,United States - West - without California
CDC,United States,West - without California,40,-113,2009,December,12,2009-12-01,39481,United States - West - without California
CDC,United States,West - without California,40,-113,2010,January,1,2010-01-01,37907,United States - West - without California
CDC,United States,West - without California,40,-113,2010,February,2,2010-02-01,35820,United States - West - without California
CDC,United States,West - without California,40,-113,2010,March,3,2010-03-01,40709,United States - West - without California
CDC,United States,West - without California,40,-113,2010,April,4,2010-04-01,39186,United States - West - without California
CDC,United States,West - without California,40,-113,2010,May,5,2010-05-01,40354,United States - West - without California
CDC,United States,West - without California,40,-113,2010,June,6,2010-06-01,40158,United States - West - without California
CDC,United States,West - without California,40,-113,2010,July,7,2010-07-01,40932,United States - West - without California
CDC,United States,West - without California,40,-113,2010,August,8,2010-08-01,41757,United States - West - without California
CDC,United States,West - without California,40,-113,2010,September,9,2010-09-01,41710,United States - West - without California
CDC,United States,West - without California,40,-113,2010,October,10,2010-10-01,39589,United States - West - without California
CDC,United States,West - without California,40,-113,2010,November,11,2010-11-01,37638,United States - West - without California
CDC,United States,West - without California,40,-113,2010,December,12,2010-12-01,39466,United States - West - without California
CDC,United States,West - without California,40,-113,2011,January,1,2011-01-01,37486,United States - West - without California
CDC,United States,West - without California,40,-113,2011,February,2,2011-02-01,35102,United States - West - without California
CDC,United States,West - without California,40,-113,2011,March,3,2011-03-01,40168,United States - West - without California
CDC,United States,West - without California,40,-113,2011,April,4,2011-04-01,38428,United States - West - without California
CDC,United States,West - without California,40,-113,2011,May,5,2011-05-01,40100,United States - West - without California
CDC,United States,West - without California,40,-113,2011,June,6,2011-06-01,40573,United States - West - without California
CDC,United States,West - without California,40,-113,2011,July,7,2011-07-01,40657,United States - West - without California
CDC,United States,West - without California,40,-113,2011,August,8,2011-08-01,42138,United States - West - without California
CDC,United States,West - without California,40,-113,2011,September,9,2011-09-01,40675,United States - West - without California
CDC,United States,West - without California,40,-113,2011,October,10,2011-10-01,38683,United States - West - without California
CDC,United States,West - without California,40,-113,2011,November,11,2011-11-01,36934,United States - West - without California
CDC,United States,West - without California,40,-113,2011,December,12,2011-12-01,37778,United States - West - without California
CDC,United States,West - without California,40,-113,2012,January,1,2012-01-01,37060,United States - West - without California
CDC,United States,West - without California,40,-113,2012,February,2,2012-02-01,36106,United States - West - without California
CDC,United States,West - without California,40,-113,2012,March,3,2012-03-01,39325,United States - West - without California
CDC,United States,West - without California,40,-113,2012,April,4,2012-04-01,37393,United States - West - without California
CDC,United States,West - without California,40,-113,2012,May,5,2012-05-01,40196,United States - West - without California
CDC,United States,West - without California,40,-113,2012,June,6,2012-06-01,38976,United States - West - without California
CDC,United States,West - without California,40,-113,2012,July,7,2012-07-01,41381,United States - West - without California
CDC,United States,West - without California,40,-113,2012,August,8,2012-08-01,42872,United States - West - without California
CDC,United States,West - without California,40,-113,2012,September,9,2012-09-01,40666,United States - West - without California
CDC,United States,West - without California,40,-113,2012,October,10,2012-10-01,40727,United States - West - without California
CDC,United States,West - without California,40,-113,2012,November,11,2012-11-01,37865,United States - West - without California
CDC,United States,West - without California,40,-113,2012,December,12,2012-12-01,37855,United States - West - without California
CDC,United States,West - without California,40,-113,2013,January,1,2013-01-01,37794,United States - West - without California
CDC,United States,West - without California,40,-113,2013,February,2,2013-02-01,34810,United States - West - without California
CDC,United States,West - without California,40,-113,2013,March,3,2013-03-01,38943,United States - West - without California
CDC,United States,West - without California,40,-113,2013,April,4,2013-04-01,37833,United States - West - without California
CDC,United States,West - without California,40,-113,2013,May,5,2013-05-01,39821,United States - West - without California
CDC,United States,West - without California,40,-113,2013,June,6,2013-06-01,38940,United States - West - without California
CDC,United States,West - without California,40,-113,2013,July,7,2013-07-01,41743,United States - West - without California
CDC,United States,West - without California,40,-113,2013,August,8,2013-08-01,41362,United States - West - without California
CDC,United States,West - without California,40,-113,2013,September,9,2013-09-01,40105,United States - West - without California
CDC,United States,West - without California,40,-113,2013,October,10,2013-10-01,40111,United States - West - without California
CDC,United States,West - without California,40,-113,2013,November,11,2013-11-01,37232,United States - West - without California
CDC,United States,West - without California,40,-113,2013,December,12,2013-12-01,38823,United States - West - without California
CDC,United States,West - without California,40,-113,2014,January,1,2014-01-01,38522,United States - West - without California
CDC,United States,West - without California,40,-113,2014,February,2,2014-02-01,35457,United States - West - without California
CDC,United States,West - without California,40,-113,2014,March,3,2014-03-01,38759,United States - West - without California
CDC,United States,West - without California,40,-113,2014,April,4,2014-04-01,38418,United States - West - without California
CDC,United States,West - without California,40,-113,2014,May,5,2014-05-01,40413,United States - West - without California
CDC,United States,West - without California,40,-113,2014,June,6,2014-06-01,39051,United States - West - without California
CDC,United States,West - without California,40,-113,2014,July,7,2014-07-01,42298,United States - West - without California
CDC,United States,West - without California,40,-113,2014,August,8,2014-08-01,42176,United States - West - without California
CDC,United States,West - without California,40,-113,2014,September,9,2014-09-01,40805,United States - West - without California
CDC,United States,West - without California,40,-113,2014,October,10,2014-10-01,40262,United States - West - without California
CDC,United States,West - without California,40,-113,2014,November,11,2014-11-01,37085,United States - West - without California
CDC,United States,West - without California,40,-113,2014,December,12,2014-12-01,39625,United States - West - without California
CDC,United States,West - without California,40,-113,2015,January,1,2015-01-01,38241,United States - West - without California
CDC,United States,West - without California,40,-113,2015,February,2,2015-02-01,35301,United States - West - without California
CDC,United States,West - without California,40,-113,2015,March,3,2015-03-01,39860,United States - West - without California
CDC,United States,West - without California,40,-113,2015,April,4,2015-04-01,38602,United States - West - without California
CDC,United States,West - without California,40,-113,2015,May,5,2015-05-01,39700,United States - West - without California
CDC,United States,West - without California,40,-113,2015,June,6,2015-06-01,39821,United States - West - without California
CDC,United States,West - without California,40,-113,2015,July,7,2015-07-01,41403,United States - West - without California
CDC,United States,West - without California,40,-113,2015,August,8,2015-08-01,41547,United States - West - without California
CDC,United States,West - without California,40,-113,2015,September,9,2015-09-01,40901,United States - West - without California
CDC,United States,West - without California,40,-113,2015,October,10,2015-10-01,40285,United States - West - without California
CDC,United States,West - without California,40,-113,2015,November,11,2015-11-01,37325,United States - West - without California
CDC,United States,West - without California,40,-113,2015,December,12,2015-12-01,39360,United States - West - without California
CDC,United States,West - without California,40,-113,2016,January,1,2016-01-01,37811,United States - West - without California
CDC,United States,West - without California,40,-113,2016,February,2,2016-02-01,36425,United States - West - without California
CDC,United States,West - without California,40,-113,2016,March,3,2016-03-01,39511,United States - West - without California
CDC,United States,West - without California,40,-113,2016,April,4,2016-04-01,38043,United States - West - without California
CDC,United States,West - without California,40,-113,2016,May,5,2016-05-01,39631,United States - West - without California
CDC,United States,West - without California,40,-113,2016,June,6,2016-06-01,40042,United States - West - without California
CDC,United States,West - without California,40,-113,2016,July,7,2016-07-01,40821,United States - West - without California
CDC,United States,West - without California,40,-113,2016,August,8,2016-08-01,42416,United States - West - without California
CDC,United States,West - without California,40,-113,2016,September,9,2016-09-01,41272,United States - West - without California
CDC,United States,West - without California,40,-113,2016,October,10,2016-10-01,39191,United States - West - without California
CDC,United States,West - without California,40,-113,2016,November,11,2016-11-01,37048,United States - West - without California
CDC,United States,West - without California,40,-113,2016,December,12,2016-12-01,37796,United States - West - without California
CDC,United States,West - without California,40,-113,2017,January,1,2017-01-01,36841,United States - West - without California
CDC,United States,West - without California,40,-113,2017,February,2,2017-02-01,34009,United States - West - without California
CDC,United States,West - without California,40,-113,2017,March,3,2017-03-01,38273,United States - West - without California
CDC,United States,West - without California,40,-113,2017,April,4,2017-04-01,36396,United States - West - without California
CDC,United States,West - without California,40,-113,2017,May,5,2017-05-01,38965,United States - West - without California
CDC,United States,West - without California,40,-113,2017,June,6,2017-06-01,38865,United States - West - without California
CDC,United States,West - without California,40,-113,2017,July,7,2017-07-01,39596,United States - West - without California
CDC,United States,West - without California,40,-113,2017,August,8,2017-08-01,40720,United States - West - without California
CDC,United States,West - without California,40,-113,2017,September,9,2017-09-01,39267,United States - West - without California
CDC,United States,West - without California,40,-113,2017,October,10,2017-10-01,38510,United States - West - without California
CDC,United States,West - without California,40,-113,2017,November,11,2017-11-01,36395,United States - West - without California
CDC,United States,West - without California,40,-113,2017,December,12,2017-12-01,36563,United States - West - without California
CDC,United States,West - without California,40,-113,2018,January,1,2018-01-01,36444,United States - West - without California
CDC,United States,West - without California,40,-113,2018,February,2,2018-02-01,33457,United States - West - without California
CDC,United States,West - without California,40,-113,2018,March,3,2018-03-01,37310,United States - West - without California
CDC,United States,West - without California,40,-113,2018,April,4,2018-04-01,35538,United States - West - without California
CDC,United States,West - without California,40,-113,2018,May,5,2018-05-01,37864,United States - West - without California
CDC,United States,West - without California,40,-113,2018,June,6,2018-06-01,37015,United States - West - without California
CDC,United States,West - without California,40,-113,2018,July,7,2018-07-01,38982,United States - West - without California
CDC,United States,West - without California,40,-113,2018,August,8,2018-08-01,40286,United States - West - without California
CDC,United States,West - without California,40,-113,2018,September,9,2018-09-01,37723,United States - West - without California
CDC,United States,West - without California,40,-113,2018,October,10,2018-10-01,37933,United States - West - without California
CDC,United States,West - without California,40,-113,2018,November,11,2018-11-01,35908,United States - West - without California
CDC,United States,West - without California,40,-113,2018,December,12,2018-12-01,35887,United States - West - without California
CDC,United States,California,37,-120,2007,January,1,2007-01-01,46313,United States - California
CDC,United States,California,37,-120,2007,February,2,2007-02-01,41843,United States - California
CDC,United States,California,37,-120,2007,March,3,2007-03-01,46717,United States - California
CDC,United States,California,37,-120,2007,April,4,2007-04-01,43285,United States - California
CDC,United States,California,37,-120,2007,May,5,2007-05-01,46582,United States - California
CDC,United States,California,37,-120,2007,June,6,2007-06-01,46691,United States - California
CDC,United States,California,37,-120,2007,July,7,2007-07-01,49684,United States - California
CDC,United States,California,37,-120,2007,August,8,2007-08-01,51747,United States - California
CDC,United States,California,37,-120,2007,September,9,2007-09-01,49746,United States - California
CDC,United States,California,37,-120,2007,October,10,2007-10-01,49830,United States - California
CDC,United States,California,37,-120,2007,November,11,2007-11-01,47197,United States - California
CDC,United States,California,37,-120,2007,December,12,2007-12-01,46779,United States - California
CDC,United States,California,37,-120,2008,January,1,2008-01-01,46653,United States - California
CDC,United States,California,37,-120,2008,February,2,2008-02-01,44089,United States - California
CDC,United States,California,37,-120,2008,March,3,2008-03-01,45337,United States - California
CDC,United States,California,37,-120,2008,April,4,2008-04-01,44242,United States - California
CDC,United States,California,37,-120,2008,May,5,2008-05-01,45886,United States - California
CDC,United States,California,37,-120,2008,June,6,2008-06-01,44733,United States - California
CDC,United States,California,37,-120,2008,July,7,2008-07-01,48897,United States - California
CDC,United States,California,37,-120,2008,August,8,2008-08-01,48766,United States - California
CDC,United States,California,37,-120,2008,September,9,2008-09-01,47775,United States - California
CDC,United States,California,37,-120,2008,October,10,2008-10-01,46684,United States - California
CDC,United States,California,37,-120,2008,November,11,2008-11-01,42839,United States - California
CDC,United States,California,37,-120,2008,December,12,2008-12-01,45878,United States - California
CDC,United States,California,37,-120,2009,January,1,2009-01-01,44196,United States - California
CDC,United States,California,37,-120,2009,February,2,2009-02-01,40339,United States - California
CDC,United States,California,37,-120,2009,March,3,2009-03-01,44223,United States - California
CDC,United States,California,37,-120,2009,April,4,2009-04-01,42396,United States - California
CDC,United States,California,37,-120,2009,May,5,2009-05-01,43150,United States - California
CDC,United States,California,37,-120,2009,June,6,2009-06-01,43112,United States - California
CDC,United States,California,37,-120,2009,July,7,2009-07-01,46237,United States - California
CDC,United States,California,37,-120,2009,August,8,2009-08-01,46330,United States - California
CDC,United States,California,37,-120,2009,September,9,2009-09-01,47003,United States - California
CDC,United States,California,37,-120,2009,October,10,2009-10-01,45135,United States - California
CDC,United States,California,37,-120,2009,November,11,2009-11-01,41371,United States - California
CDC,United States,California,37,-120,2009,December,12,2009-12-01,43528,United States - California
CDC,United States,California,37,-120,2010,January,1,2010-01-01,41929,United States - California
CDC,United States,California,37,-120,2010,February,2,2010-02-01,38354,United States - California
CDC,United States,California,37,-120,2010,March,3,2010-03-01,42796,United States - California
CDC,United States,California,37,-120,2010,April,4,2010-04-01,40522,United States - California
CDC,United States,California,37,-120,2010,May,5,2010-05-01,41259,United States - California
CDC,United States,California,37,-120,2010,June,6,2010-06-01,41500,United States - California
CDC,United States,California,37,-120,2010,July,7,2010-07-01,43729,United States - California
CDC,United States,California,37,-120,2010,August,8,2010-08-01,45028,United States - California
CDC,United States,California,37,-120,2010,September,9,2010-09-01,45376,United States - California
CDC,United States,California,37,-120,2010,October,10,2010-10-01,44105,United States - California
CDC,United States,California,37,-120,2010,November,11,2010-11-01,42022,United States - California
CDC,United States,California,37,-120,2010,December,12,2010-12-01,43578,United States - California
CDC,United States,California,37,-120,2011,January,1,2011-01-01,41317,United States - California
CDC,United States,California,37,-120,2011,February,2,2011-02-01,38209,United States - California
CDC,United States,California,37,-120,2011,March,3,2011-03-01,42384,United States - California
CDC,United States,California,37,-120,2011,April,4,2011-04-01,40373,United States - California
CDC,United States,California,37,-120,2011,May,5,2011-05-01,41510,United States - California
CDC,United States,California,37,-120,2011,June,6,2011-06-01,42085,United States - California
CDC,United States,California,37,-120,2011,July,7,2011-07-01,43115,United States - California
CDC,United States,California,37,-120,2011,August,8,2011-08-01,45033,United States - California
CDC,United States,California,37,-120,2011,September,9,2011-09-01,43565,United States - California
CDC,United States,California,37,-120,2011,October,10,2011-10-01,42100,United States - California
CDC,United States,California,37,-120,2011,November,11,2011-11-01,40888,United States - California
CDC,United States,California,37,-120,2011,December,12,2011-12-01,41541,United States - California
CDC,United States,California,37,-120,2012,January,1,2012-01-01,40219,United States - California
CDC,United States,California,37,-120,2012,February,2,2012-02-01,38631,United States - California
CDC,United States,California,37,-120,2012,March,3,2012-03-01,41414,United States - California
CDC,United States,California,37,-120,2012,April,4,2012-04-01,38791,United States - California
CDC,United States,California,37,-120,2012,May,5,2012-05-01,41300,United States - California
CDC,United States,California,37,-120,2012,June,6,2012-06-01,40792,United States - California
CDC,United States,California,37,-120,2012,July,7,2012-07-01,43386,United States - California
CDC,United States,California,37,-120,2012,August,8,2012-08-01,46031,United States - California
CDC,United States,California,37,-120,2012,September,9,2012-09-01,44675,United States - California
CDC,United States,California,37,-120,2012,October,10,2012-10-01,44691,United States - California
CDC,United States,California,37,-120,2012,November,11,2012-11-01,42109,United States - California
CDC,United States,California,37,-120,2012,December,12,2012-12-01,41716,United States - California
CDC,United States,California,37,-120,2013,January,1,2013-01-01,41251,United States - California
CDC,United States,California,37,-120,2013,February,2,2013-02-01,36711,United States - California
CDC,United States,California,37,-120,2013,March,3,2013-03-01,40704,United States - California
CDC,United States,California,37,-120,2013,April,4,2013-04-01,38794,United States - California
CDC,United States,California,37,-120,2013,May,5,2013-05-01,40516,United States - California
CDC,United States,California,37,-120,2013,June,6,2013-06-01,39006,United States - California
CDC,United States,California,37,-120,2013,July,7,2013-07-01,42692,United States - California
CDC,United States,California,37,-120,2013,August,8,2013-08-01,44888,United States - California
CDC,United States,California,37,-120,2013,September,9,2013-09-01,43804,United States - California
CDC,United States,California,37,-120,2013,October,10,2013-10-01,43653,United States - California
CDC,United States,California,37,-120,2013,November,11,2013-11-01,40673,United States - California
CDC,United States,California,37,-120,2013,December,12,2013-12-01,42013,United States - California
CDC,United States,California,37,-120,2014,January,1,2014-01-01,41043,United States - California
CDC,United States,California,37,-120,2014,February,2,2014-02-01,37359,United States - California
CDC,United States,California,37,-120,2014,March,3,2014-03-01,40680,United States - California
CDC,United States,California,37,-120,2014,April,4,2014-04-01,39912,United States - California
CDC,United States,California,37,-120,2014,May,5,2014-05-01,41668,United States - California
CDC,United States,California,37,-120,2014,June,6,2014-06-01,40497,United States - California
CDC,United States,California,37,-120,2014,July,7,2014-07-01,44619,United States - California
CDC,United States,California,37,-120,2014,August,8,2014-08-01,44821,United States - California
CDC,United States,California,37,-120,2014,September,9,2014-09-01,45004,United States - California
CDC,United States,California,37,-120,2014,October,10,2014-10-01,43881,United States - California
CDC,United States,California,37,-120,2014,November,11,2014-11-01,41081,United States - California
CDC,United States,California,37,-120,2014,December,12,2014-12-01,42314,United States - California
CDC,United States,California,37,-120,2015,January,1,2015-01-01,40959,United States - California
CDC,United States,California,37,-120,2015,February,2,2015-02-01,37306,United States - California
CDC,United States,California,37,-120,2015,March,3,2015-03-01,40926,United States - California
CDC,United States,California,37,-120,2015,April,4,2015-04-01,39162,United States - California
CDC,United States,California,37,-120,2015,May,5,2015-05-01,40375,United States - California
CDC,United States,California,37,-120,2015,June,6,2015-06-01,39877,United States - California
CDC,United States,California,37,-120,2015,July,7,2015-07-01,43116,United States - California
CDC,United States,California,37,-120,2015,August,8,2015-08-01,43727,United States - California
CDC,United States,California,37,-120,2015,September,9,2015-09-01,43569,United States - California
CDC,United States,California,37,-120,2015,October,10,2015-10-01,41997,United States - California
CDC,United States,California,37,-120,2015,November,11,2015-11-01,39734,United States - California
CDC,United States,California,37,-120,2015,December,12,2015-12-01,41000,United States - California
CDC,United States,California,37,-120,2016,January,1,2016-01-01,39350,United States - California
CDC,United States,California,37,-120,2016,February,2,2016-02-01,37794,United States - California
CDC,United States,California,37,-120,2016,March,3,2016-03-01,40874,United States - California
CDC,United States,California,37,-120,2016,April,4,2016-04-01,38624,United States - California
CDC,United States,California,37,-120,2016,May,5,2016-05-01,39564,United States - California
CDC,United States,California,37,-120,2016,June,6,2016-06-01,39774,United States - California
CDC,United States,California,37,-120,2016,July,7,2016-07-01,41059,United States - California
CDC,United States,California,37,-120,2016,August,8,2016-08-01,45033,United States - California
CDC,United States,California,37,-120,2016,September,9,2016-09-01,44222,United States - California
CDC,United States,California,37,-120,2016,October,10,2016-10-01,42247,United States - California
CDC,United States,California,37,-120,2016,November,11,2016-11-01,39932,United States - California
CDC,United States,California,37,-120,2016,December,12,2016-12-01,40354,United States - California
CDC,United States,California,37,-120,2017,January,1,2017-01-01,39362,United States - California
CDC,United States,California,37,-120,2017,February,2,2017-02-01,36002,United States - California
CDC,United States,California,37,-120,2017,March,3,2017-03-01,39133,United States - California
CDC,United States,California,37,-120,2017,April,4,2017-04-01,36974,United States - California
CDC,United States,California,37,-120,2017,May,5,2017-05-01,39400,United States - California
CDC,United States,California,37,-120,2017,June,6,2017-06-01,38955,United States - California
CDC,United States,California,37,-120,2017,July,7,2017-07-01,40475,United States - California
CDC,United States,California,37,-120,2017,August,8,2017-08-01,42231,United States - California
CDC,United States,California,37,-120,2017,September,9,2017-09-01,41475,United States - California
CDC,United States,California,37,-120,2017,October,10,2017-10-01,40410,United States - California
